,loss,accuracy,val_loss,val_accuracy,lr
0,0.7786077260971069,0.7035618424415588,0.7330968976020813,0.7212863564491272,9.999999747378752e-05
1,0.33441150188446045,0.8904634118080139,0.6128048896789551,0.7672281861305237,9.999999747378752e-05
2,0.18285804986953735,0.9410187602043152,0.569161593914032,0.7733537554740906,9.999999747378752e-05
3,0.11849141120910645,0.9639984965324402,0.7254334688186646,0.7044410705566406,9.999999747378752e-05
4,0.0725935772061348,0.980084240436554,0.6389554142951965,0.748851478099823,9.999999747378752e-05
5,0.04843512177467346,0.989276111125946,0.6159726977348328,0.7641654014587402,2.9999999242136255e-05
6,0.03877970948815346,0.9931060671806335,0.5267532467842102,0.803981602191925,2.9999999242136255e-05
7,0.03825533390045166,0.9911910891532898,0.38571077585220337,0.8774884939193726,2.9999999242136255e-05
8,0.03761834278702736,0.9888931512832642,0.20776283740997314,0.9295558929443359,2.9999999242136255e-05
9,0.03013923577964306,0.9938721060752869,0.12809626758098602,0.957120954990387,2.9999999242136255e-05
10,0.03400013968348503,0.9919571280479431,0.1101939007639885,0.964777946472168,2.9999999242136255e-05
11,0.018085870891809464,0.9957870841026306,0.10070578753948212,0.9709035158157349,2.9999999242136255e-05
12,0.024228140711784363,0.995404064655304,0.10538148880004883,0.9678407311439514,2.9999999242136255e-05
13,0.019145870581269264,0.9984680414199829,0.09204955399036407,0.972434937953949,2.9999999242136255e-05
14,0.022044308483600616,0.995404064655304,0.10633958876132965,0.9663093686103821,2.9999999242136255e-05
